rel,att,se,ci_lo,ci_hi,sig,outcome,label
-9,0.0025220043586937635,0.12638637904105626,-0.24519074669820445,0.250234755415592,,log_n_total,log(Total patients)
-8,0.006320014734570431,0.05173921219600869,-0.09508697775808211,0.10772700722722298,,log_n_total,log(Total patients)
-7,-0.033209534760084404,0.07282325148093581,-0.17594048489982175,0.10952141537965296,,log_n_total,log(Total patients)
-6,-0.038779008142533884,0.07576694326297767,-0.1872794881566598,0.10972147187159204,,log_n_total,log(Total patients)
-5,0.047373305258819734,0.040852273289914136,-0.0326956790759996,0.12744228959363907,,log_n_total,log(Total patients)
-4,0.005679968269640614,0.03792797667447138,-0.06865750001879854,0.08001743655807976,,log_n_total,log(Total patients)
-3,0.0020931236780216893,0.01951603970470525,-0.03615761126405431,0.04034385862009769,,log_n_total,log(Total patients)
-2,-0.03981056360011968,0.02975783831992363,-0.0981348549649359,0.018513727764696543,,log_n_total,log(Total patients)
-1,0.03142819683147146,0.019032781252974078,-0.005875368949986859,0.06873176261292978,,log_n_total,log(Total patients)
0,0.043677212961890303,0.0117349071420176,0.02067721760161395,0.06667720832216666,*,log_n_total,log(Total patients)
1,0.07300414211250816,0.017644300037628246,0.03842194950633808,0.10758633471867825,*,log_n_total,log(Total patients)
2,0.0957565382287957,0.02151249029512466,0.053592832032583936,0.13792024442500747,*,log_n_total,log(Total patients)
3,0.11935018994954105,0.02652976938335181,0.0673527974400181,0.171347582459064,*,log_n_total,log(Total patients)
4,0.15689221384565732,0.03181364081227104,0.0945386236365125,0.21924580405480215,*,log_n_total,log(Total patients)
5,0.18186430532060696,0.03925751221692043,0.10492099525280175,0.2588076153884122,*,log_n_total,log(Total patients)
6,0.2143447515916691,0.04755544847182077,0.12113778531825004,0.30755171786508817,*,log_n_total,log(Total patients)
7,0.24388579018586387,0.057218906258327984,0.1317387946847675,0.35603278568696023,*,log_n_total,log(Total patients)
8,0.266734242288303,0.06487357496241236,0.13958437181361538,0.3938841127629906,*,log_n_total,log(Total patients)
9,0.18767203540266128,0.08305551819749209,0.024886211018265714,0.35045785978705685,*,log_n_total,log(Total patients)
-9,-0.004974730859507198,0.01727843776843638,-0.03883984659475913,0.028890384875744732,,share_uninsured,Uninsured share
-8,-0.015607523317998277,0.01340093454518918,-0.04187287238574772,0.010657825749751165,,share_uninsured,Uninsured share
-7,-0.016466441120219374,0.00767322831589209,-0.0315056922645208,-0.0014271899759179443,*,share_uninsured,Uninsured share
-6,-0.00719044058674872,0.008237567150122978,-0.023335775521220008,0.00895489434772257,,share_uninsured,Uninsured share
-5,0.012214221788242443,0.008288822249773745,-0.004031571295568361,0.028460014872053248,,share_uninsured,Uninsured share
-4,0.00434722632302099,0.0063102490077600985,-0.008020634465668416,0.016715087111710394,,share_uninsured,Uninsured share
-3,-0.011866767412756917,0.005950294670391802,-0.02352913066412548,-0.00020440416138835411,*,share_uninsured,Uninsured share
-2,0.009482244044344827,0.0061245594565223615,-0.002521671911613208,0.021486160000302863,,share_uninsured,Uninsured share
-1,0.0008402823204141116,0.004583317072298883,-0.008142854071019263,0.009823418711847486,,share_uninsured,Uninsured share
0,0.003260509135195351,0.003037196401324032,-0.002692286425374412,0.009213304695765114,,share_uninsured,Uninsured share
1,0.0031213546608389944,0.004017327040712471,-0.004752461653076323,0.010995170974754312,,share_uninsured,Uninsured share
2,-0.0007737934176118954,0.005119526687797166,-0.010807881343585972,0.009260294508362183,,share_uninsured,Uninsured share
3,-0.005756771285010167,0.006206449592190442,-0.01792118895756674,0.006407646387546404,,share_uninsured,Uninsured share
4,0.0014488852717148022,0.006800684986563016,-0.011880212372150971,0.014777982915580575,,share_uninsured,Uninsured share
5,0.01280884576360082,0.008279970560452786,-0.0034195983279385646,0.029037289855140206,,share_uninsured,Uninsured share
6,0.004163093649090132,0.009674236258884299,-0.014798060996254605,0.02312424829443487,,share_uninsured,Uninsured share
7,0.003727635843138976,0.0118946255631664,-0.019585401870256626,0.027040673556534577,,share_uninsured,Uninsured share
8,-0.0012648905852519845,0.013102920477569394,-0.026946142813580362,0.024416361643076395,,share_uninsured,Uninsured share
9,0.00879373262967617,0.015948952082071657,-0.022465639042339385,0.040053104301691726,,share_uninsured,Uninsured share
-9,0.0028358796921680862,0.014274054032097909,-0.025140752124122555,0.030812511508458727,,share_medicaid,Medicaid share
-8,-0.0012331492509560062,0.010260412891769162,-0.02134318898533403,0.018876890483422018,,share_medicaid,Medicaid share
-7,0.017421683825380476,0.007960256172276622,0.001819868420005628,0.03302349923075532,*,share_medicaid,Medicaid share
