rel,att,se,ci_lo,ci_hi,sig,outcome,label
-7,0.013727181772451802,0.04019691466832795,-0.06505732326710079,0.09251168681200439,,bmi_adult,Adult BMI follow-up
-6,-0.025793877314944192,0.03774528073576916,-0.09977326814340526,0.04818551351351688,,bmi_adult,Adult BMI follow-up
-5,0.01328518671735295,0.01938153643284443,-0.02470192665607305,0.051272300090778954,,bmi_adult,Adult BMI follow-up
-4,0.031111728004457287,0.023833312979107308,-0.015600707066864061,0.07782416307577864,,bmi_adult,Adult BMI follow-up
-3,-0.016653671878326476,0.018444294325713404,-0.05280382447698123,0.01949648072032828,,bmi_adult,Adult BMI follow-up
-2,0.007625084481057451,0.016166664371749243,-0.024060995437717923,0.03931116439983282,,bmi_adult,Adult BMI follow-up
-1,0.020358260397232562,0.011384097704265439,-0.001954161099612807,0.04267068189407793,,bmi_adult,Adult BMI follow-up
0,0.007664400723113612,0.010824336018987277,-0.013550908030661116,0.02887970947688834,,bmi_adult,Adult BMI follow-up
1,0.018575854642563776,0.014146896908726272,-0.009151553791540742,0.046303263076668294,,bmi_adult,Adult BMI follow-up
2,0.021356777258229633,0.01751342935062382,-0.012968913514779759,0.055682468031239024,,bmi_adult,Adult BMI follow-up
3,0.027902720320089412,0.020841979311407938,-0.012946808496799064,0.06875224913697789,,bmi_adult,Adult BMI follow-up
4,0.04490659418755916,0.01922227926834032,0.007231619120841186,0.08258156925427712,*,bmi_adult,Adult BMI follow-up
5,0.036228904154378926,0.025980823735994217,-0.014692574656853113,0.08715038296561096,,bmi_adult,Adult BMI follow-up
6,0.04527149317099088,0.03695433521973819,-0.027157672932316045,0.11770065927429779,,bmi_adult,Adult BMI follow-up
7,0.07968573725010197,0.06331746233160543,-0.044414208512316186,0.20378568301252015,,bmi_adult,Adult BMI follow-up
