rel,att,se,ci_lo,ci_hi,sig,outcome,label
-7,0.009853821174245103,0.016855166096686337,-0.02318169732870068,0.042889339677190885,,crc_screen,Colorectal cancer screening
-6,0.007527512703331652,0.020402923253684164,-0.032461482053224085,0.047516507459887385,,crc_screen,Colorectal cancer screening
-5,0.026574010917502687,0.009641079227077756,0.007677842860333024,0.04547017897467235,*,crc_screen,Colorectal cancer screening
-4,-0.0005604516463510961,0.017046560386048615,-0.03397109606329358,0.03285019277059139,,crc_screen,Colorectal cancer screening
-3,0.014981888098715368,0.010171823202045191,-0.004954519034402097,0.03491829523183283,,crc_screen,Colorectal cancer screening
-2,-0.0029285440474622814,0.011035772948750836,-0.024558261568575313,0.01870117347365075,,crc_screen,Colorectal cancer screening
-1,0.007644206797157153,0.006845470012635712,-0.005772667884857792,0.0210610814791721,,crc_screen,Colorectal cancer screening
0,0.003696825882105422,0.006144755865118903,-0.00834667430731889,0.015740326071529732,,crc_screen,Colorectal cancer screening
1,-0.002075772375832779,0.010065728341411197,-0.02180423740316282,0.017652692651497263,,crc_screen,Colorectal cancer screening
2,0.004777047099238554,0.01219432460651832,-0.019123389945327918,0.028677484143805027,,crc_screen,Colorectal cancer screening
3,0.007534338271226195,0.014979347242301787,-0.021824642835604684,0.03689331937805707,,crc_screen,Colorectal cancer screening
4,0.008232175408965557,0.014869035632447257,-0.02091059891547381,0.037374949733404925,,crc_screen,Colorectal cancer screening
5,0.011206240592300624,0.01881526648006038,-0.025671004068141434,0.04808348525274268,,crc_screen,Colorectal cancer screening
6,0.04818687077693482,0.022724215730105645,0.0036482263690091887,0.09272551518486045,*,crc_screen,Colorectal cancer screening
7,0.09696706480888834,0.04788746222091545,0.0031093635448715823,0.1908247660729051,*,crc_screen,Colorectal cancer screening
