rel,att,se,ci_lo,ci_hi,sig,outcome,label
-7,-0.04932835931238921,0.025018972164253497,-0.0983646436845362,-0.0002920749402422207,*,depr_screen,Depression screen+follow-up
-6,0.048136612424516154,0.03421938732666493,-0.01893215430877347,0.11520537915780578,,depr_screen,Depression screen+follow-up
-5,-0.021205875371184315,0.027609284321385243,-0.07531907828002578,0.03290732753765714,,depr_screen,Depression screen+follow-up
-4,0.018217500961814355,0.02114709780842113,-0.023230049120236962,0.05966505104386567,,depr_screen,Depression screen+follow-up
-3,-0.0030693129206246,0.016712540023465675,-0.035825289456801516,0.029686663615552316,,depr_screen,Depression screen+follow-up
-2,-0.015277049033469176,0.015104091193778311,-0.04488052379248326,0.014326425725544906,,depr_screen,Depression screen+follow-up
-1,0.017632866713568007,0.012537046081833921,-0.006939292079345478,0.04220502550648149,,depr_screen,Depression screen+follow-up
0,-0.01044728896775336,0.010327028028099218,-0.03068789197016352,0.009793314034656797,,depr_screen,Depression screen+follow-up
1,-0.02376997088039329,0.015732702828554528,-0.0546055018038316,0.007065560043045021,,depr_screen,Depression screen+follow-up
2,-0.02478635926389996,0.017826474787239723,-0.05972560781820114,0.010152889290401222,,depr_screen,Depression screen+follow-up
3,-0.012431424343527212,0.01859990488473889,-0.04888656803348606,0.02402371934643164,,depr_screen,Depression screen+follow-up
4,-0.006877841428738709,0.01910265546163369,-0.0443183581426181,0.030562675285140686,,depr_screen,Depression screen+follow-up
5,0.01723746475265383,0.02377872458289702,-0.02936797902812155,0.06384290853342921,,depr_screen,Depression screen+follow-up
6,0.012990970830624487,0.035638673016128664,-0.05685954473778715,0.08284148639903613,,depr_screen,Depression screen+follow-up
7,-0.014337748747378462,0.06819733578705003,-0.14800207073158106,0.11932657323682415,,depr_screen,Depression screen+follow-up
