rel,att,se,ci_lo,ci_hi,sig,outcome,label
-8,0.018445767007486517,0.027302777845207304,-0.0350666942470179,0.07195822826199093,,dm_poor_control_pct,Diabetes A1c>9% (poor)
-7,-0.014133927090543633,0.024129893886628492,-0.061427650059108704,0.03315979587802144,,dm_poor_control_pct,Diabetes A1c>9% (poor)
-6,0.021760214186962137,0.02690386415477006,-0.030970390601345325,0.0744908189752696,,dm_poor_control_pct,Diabetes A1c>9% (poor)
-5,-0.016596446959188688,0.021585736549515604,-0.05890371317600917,0.025710819257631794,,dm_poor_control_pct,Diabetes A1c>9% (poor)
-4,0.0010289033882157357,0.013929107908593153,-0.026271646449398882,0.028329453225830352,,dm_poor_control_pct,Diabetes A1c>9% (poor)
-3,-0.001142127198243208,0.010515732479046669,-0.021752584128232777,0.019468329731746357,,dm_poor_control_pct,Diabetes A1c>9% (poor)
-2,-0.0075641301095984905,0.012096222543147694,-0.03127229064314947,0.016144030423952488,,dm_poor_control_pct,Diabetes A1c>9% (poor)
-1,-0.01075986808857659,0.009138387695277441,-0.028670778848084364,0.007151042670931185,,dm_poor_control_pct,Diabetes A1c>9% (poor)
0,0.009522690495501094,0.0061827052478254175,-0.0025951891172635144,0.0216405701082657,,dm_poor_control_pct,Diabetes A1c>9% (poor)
1,0.00811120331438302,0.007652377117499748,-0.006887180232034919,0.02310958686080096,,dm_poor_control_pct,Diabetes A1c>9% (poor)
2,0.013820289412579595,0.007868689751802231,-0.001602059106472195,0.029242637931631385,,dm_poor_control_pct,Diabetes A1c>9% (poor)
3,0.012778514272604409,0.008487393179609065,-0.0038564706820602528,0.02941349922726907,,dm_poor_control_pct,Diabetes A1c>9% (poor)
4,0.007548697157377955,0.008552490886463787,-0.00921387695819811,0.02431127127295402,,dm_poor_control_pct,Diabetes A1c>9% (poor)
5,0.005736282401638119,0.010864753798422307,-0.015558243744164353,0.02703080854744059,,dm_poor_control_pct,Diabetes A1c>9% (poor)
6,-0.01412778204516646,0.012406304810778741,-0.0384436926555188,0.010188128565185882,,dm_poor_control_pct,Diabetes A1c>9% (poor)
7,-0.017789894475454832,0.01529671781204879,-0.047770910468742794,0.012191121517833133,,dm_poor_control_pct,Diabetes A1c>9% (poor)
8,-0.013795942916972233,0.016120797657383557,-0.045392125727501675,0.01780023989355721,,dm_poor_control_pct,Diabetes A1c>9% (poor)
