rel,att,se,ci_lo,ci_hi,sig,outcome,label
-8,0.043848399764873314,0.02666568298007948,-0.008415378499245167,0.0961121780289918,,htn_control_pct,Hypertension control
-7,0.016655383997801206,0.019681947061185947,-0.021920523387747207,0.05523129138334962,,htn_control_pct,Hypertension control
-6,0.0013000250804060705,0.022874467023733618,-0.04353310645166095,0.04613315661247308,,htn_control_pct,Hypertension control
-5,0.004282772135339778,0.012254947856906723,-0.01973648429661372,0.028302028567293275,,htn_control_pct,Hypertension control
-4,0.002320451248935009,0.009693417057734566,-0.016678297071350958,0.021319199569220976,,htn_control_pct,Hypertension control
-3,-0.0031061793516670277,0.007809412148819206,-0.018412345903782226,0.01219998720044817,,htn_control_pct,Hypertension control
-2,0.010921773860045541,0.005765850440049671,-0.00037908534269623546,0.022222633062787316,,htn_control_pct,Hypertension control
-1,-0.006906492482816073,0.00534959566425467,-0.017391507316606852,0.0035785223509747074,,htn_control_pct,Hypertension control
0,0.013487665142078015,0.005202776450289162,0.0032904106798981106,0.02368491960425792,*,htn_control_pct,Hypertension control
1,0.010978115292085332,0.006317318129848572,-0.0014036007212997973,0.02335983130547046,,htn_control_pct,Hypertension control
2,0.00899847114462224,0.0071123976651296245,-0.004941572122758595,0.022938514412003078,,htn_control_pct,Hypertension control
3,0.01581067111508703,0.00797667702886462,0.00017667142220440663,0.03144467080796965,*,htn_control_pct,Hypertension control
4,0.029330958362337095,0.008111854306982632,0.013432016072815016,0.045229900651859174,*,htn_control_pct,Hypertension control
5,0.03077203339514874,0.010094463552936517,0.010987248388140934,0.05055681840215655,*,htn_control_pct,Hypertension control
6,0.0303321713152294,0.01149149404379246,0.007809256860839629,0.05285508576961917,*,htn_control_pct,Hypertension control
7,0.0338597975659004,0.013872251634887998,0.00667068397704304,0.06104891115475776,*,htn_control_pct,Hypertension control
8,0.039184886969243715,0.01352406603146043,0.012678204623039736,0.0656915693154477,*,htn_control_pct,Hypertension control
