rel,att,se,ci_lo,ci_hi,sig,outcome,label
-7,0.0006936391521030205,0.03565808886559301,-0.06919493078198799,0.07058220908619403,,imm_child,Childhood immunization
-6,0.004211212424488218,0.021683272643734628,-0.038287221024194254,0.046709645873170696,,imm_child,Childhood immunization
-5,0.03147899108516793,0.03478803475912398,-0.03670430413564261,0.09966228630597848,,imm_child,Childhood immunization
-4,-0.016065596743173018,0.017035276013117107,-0.04945412419558163,0.017322930709235594,,imm_child,Childhood immunization
-3,0.0286177537301982,0.012355596919447811,0.0044012287605864515,0.052834278699809945,*,imm_child,Childhood immunization
-2,-0.020392114747492245,0.01901617664270077,-0.057663136090837556,0.016878906595853067,,imm_child,Childhood immunization
-1,0.006872515767840983,0.011452557947931314,-0.015574085340962341,0.029319116876644305,,imm_child,Childhood immunization
0,-0.00885825178371846,0.010687720347061006,-0.02980579874079396,0.01208929517335704,,imm_child,Childhood immunization
1,-0.027915706801483114,0.015133208975643594,-0.057576251364262844,0.0017448377612966151,,imm_child,Childhood immunization
2,-0.02956853207169049,0.016356192550218827,-0.06162608039432173,0.002489016250940751,,imm_child,Childhood immunization
3,-0.038329841474974216,0.018986720580191345,-0.0755431299966747,-0.0011165529532737375,*,imm_child,Childhood immunization
4,-0.033354929522121456,0.01930868595617608,-0.07119925858502091,0.004489399540777997,,imm_child,Childhood immunization
5,-0.05017198352118364,0.02646069022877937,-0.10203398337566214,0.0016900163332948456,,imm_child,Childhood immunization
6,-0.051296917691849714,0.03296500070031297,-0.11590713181480079,0.013313296431101365,,imm_child,Childhood immunization
7,-0.10413676267823394,0.06295966179506489,-0.22753543227538353,0.01926190691891566,,imm_child,Childhood immunization
