rel,att,se,ci_lo,ci_hi,sig,outcome,label
-9,0.0025220043586937635,0.12638637904105626,-0.24519074669820445,0.250234755415592,,log_n_total,log(Total patients)
-8,0.006320014734570431,0.05173921219600869,-0.09508697775808211,0.10772700722722298,,log_n_total,log(Total patients)
-7,-0.033209534760084404,0.07282325148093581,-0.17594048489982175,0.10952141537965296,,log_n_total,log(Total patients)
-6,-0.038779008142533884,0.07576694326297767,-0.1872794881566598,0.10972147187159204,,log_n_total,log(Total patients)
-5,0.047373305258819734,0.040852273289914136,-0.0326956790759996,0.12744228959363907,,log_n_total,log(Total patients)
-4,0.005679968269640614,0.03792797667447138,-0.06865750001879854,0.08001743655807976,,log_n_total,log(Total patients)
-3,0.0020931236780216893,0.01951603970470525,-0.03615761126405431,0.04034385862009769,,log_n_total,log(Total patients)
-2,-0.03981056360011968,0.02975783831992363,-0.0981348549649359,0.018513727764696543,,log_n_total,log(Total patients)
-1,0.03142819683147146,0.019032781252974078,-0.005875368949986859,0.06873176261292978,,log_n_total,log(Total patients)
0,0.043677212961890303,0.0117349071420176,0.02067721760161395,0.06667720832216666,*,log_n_total,log(Total patients)
1,0.07300414211250816,0.017644300037628246,0.03842194950633808,0.10758633471867825,*,log_n_total,log(Total patients)
2,0.0957565382287957,0.02151249029512466,0.053592832032583936,0.13792024442500747,*,log_n_total,log(Total patients)
3,0.11935018994954105,0.02652976938335181,0.0673527974400181,0.171347582459064,*,log_n_total,log(Total patients)
4,0.15689221384565732,0.03181364081227104,0.0945386236365125,0.21924580405480215,*,log_n_total,log(Total patients)
5,0.18186430532060696,0.03925751221692043,0.10492099525280175,0.2588076153884122,*,log_n_total,log(Total patients)
6,0.2143447515916691,0.04755544847182077,0.12113778531825004,0.30755171786508817,*,log_n_total,log(Total patients)
7,0.24388579018586387,0.057218906258327984,0.1317387946847675,0.35603278568696023,*,log_n_total,log(Total patients)
8,0.266734242288303,0.06487357496241236,0.13958437181361538,0.3938841127629906,*,log_n_total,log(Total patients)
9,0.18767203540266128,0.08305551819749209,0.024886211018265714,0.35045785978705685,*,log_n_total,log(Total patients)
