rel,att,se,ci_lo,ci_hi,sig,outcome,label
-7,-0.0400679129064605,0.03309332775147291,-0.1049296434279273,0.02479381761500629,,pap_screen,Cervical cancer screening
-6,-0.0007742281872743554,0.01885184866054034,-0.03772317260393308,0.03617471622938437,,pap_screen,Cervical cancer screening
-5,-0.002925422007762501,0.013702114633905617,-0.029781073202256737,0.02393022918673174,,pap_screen,Cervical cancer screening
-4,-0.006050384302037208,0.014251104141714493,-0.03398203515972721,0.021881266555652798,,pap_screen,Cervical cancer screening
-3,0.01976451283757519,0.013013529455509557,-0.005741536206974679,0.04527056188212506,,pap_screen,Cervical cancer screening
-2,-0.005682270302284142,0.009455535254691935,-0.0242147788560291,0.012850238251460817,,pap_screen,Cervical cancer screening
-1,-0.00020577215342031463,0.006934310510941274,-0.013796771012482752,0.013385226705642123,,pap_screen,Cervical cancer screening
0,0.010760535214706638,0.005897522338009606,-0.0007983961658126447,0.02231946659522592,,pap_screen,Cervical cancer screening
1,-0.003296206343777153,0.009587765962103843,-0.022087882321699705,0.0154954696341454,,pap_screen,Cervical cancer screening
2,-0.00894211418013311,0.011666013929145421,-0.03180708132440074,0.013922852964134522,,pap_screen,Cervical cancer screening
3,-0.011759235966256052,0.012933321346486669,-0.037108080005853,0.013589608073340897,,pap_screen,Cervical cancer screening
4,-0.016591032165964074,0.01306370701004747,-0.04219542741024055,0.009013363078312402,,pap_screen,Cervical cancer screening
5,-0.016943247586313142,0.01662463809878173,-0.04952693951593777,0.015640444343311483,,pap_screen,Cervical cancer screening
6,0.015587363296855915,0.0209779683521595,-0.02552869914219777,0.0567034257359096,,pap_screen,Cervical cancer screening
7,-0.003098856641380099,0.04378175669410052,-0.08890952294171253,0.08271180965895233,,pap_screen,Cervical cancer screening
