rel,att,se,ci_lo,ci_hi,sig,outcome,label
-9,-0.004974730859507198,0.01727843776843638,-0.03883984659475913,0.028890384875744732,,share_uninsured,Uninsured share
-8,-0.015607523317998277,0.01340093454518918,-0.04187287238574772,0.010657825749751165,,share_uninsured,Uninsured share
-7,-0.016466441120219374,0.00767322831589209,-0.0315056922645208,-0.0014271899759179443,*,share_uninsured,Uninsured share
-6,-0.00719044058674872,0.008237567150122978,-0.023335775521220008,0.00895489434772257,,share_uninsured,Uninsured share
-5,0.012214221788242443,0.008288822249773745,-0.004031571295568361,0.028460014872053248,,share_uninsured,Uninsured share
-4,0.00434722632302099,0.0063102490077600985,-0.008020634465668416,0.016715087111710394,,share_uninsured,Uninsured share
-3,-0.011866767412756917,0.005950294670391802,-0.02352913066412548,-0.00020440416138835411,*,share_uninsured,Uninsured share
-2,0.009482244044344827,0.0061245594565223615,-0.002521671911613208,0.021486160000302863,,share_uninsured,Uninsured share
-1,0.0008402823204141116,0.004583317072298883,-0.008142854071019263,0.009823418711847486,,share_uninsured,Uninsured share
0,0.003260509135195351,0.003037196401324032,-0.002692286425374412,0.009213304695765114,,share_uninsured,Uninsured share
1,0.0031213546608389944,0.004017327040712471,-0.004752461653076323,0.010995170974754312,,share_uninsured,Uninsured share
2,-0.0007737934176118954,0.005119526687797166,-0.010807881343585972,0.009260294508362183,,share_uninsured,Uninsured share
3,-0.005756771285010167,0.006206449592190442,-0.01792118895756674,0.006407646387546404,,share_uninsured,Uninsured share
4,0.0014488852717148022,0.006800684986563016,-0.011880212372150971,0.014777982915580575,,share_uninsured,Uninsured share
5,0.01280884576360082,0.008279970560452786,-0.0034195983279385646,0.029037289855140206,,share_uninsured,Uninsured share
6,0.004163093649090132,0.009674236258884299,-0.014798060996254605,0.02312424829443487,,share_uninsured,Uninsured share
7,0.003727635843138976,0.0118946255631664,-0.019585401870256626,0.027040673556534577,,share_uninsured,Uninsured share
8,-0.0012648905852519845,0.013102920477569394,-0.026946142813580362,0.024416361643076395,,share_uninsured,Uninsured share
9,0.00879373262967617,0.015948952082071657,-0.022465639042339385,0.040053104301691726,,share_uninsured,Uninsured share
