rel,att,se,ci_lo,ci_hi,sig,outcome,label
-7,-0.027924948871888233,0.013437210744134107,-0.05426139798306574,-0.0015884997607107237,*,tobacco,Tobacco assessment+intervention
-6,0.0028740844878283843,0.01651996457919358,-0.02950445111326842,0.035252620088925185,,tobacco,Tobacco assessment+intervention
-5,-0.025439189487387066,0.02807437146687706,-0.08046394645106503,0.0295855674762909,,tobacco,Tobacco assessment+intervention
-4,0.0309209572937994,0.01675070967074614,-0.0019098303763498276,0.06375174496394863,,tobacco,Tobacco assessment+intervention
-3,0.02090343053353545,0.016529471831022182,-0.011493738938737372,0.053300600005808274,,tobacco,Tobacco assessment+intervention
-2,0.010735840187347342,0.01176849888960774,-0.012329993788383446,0.03380167416307813,,tobacco,Tobacco assessment+intervention
-1,-0.0017401829011382793,0.009021833965881451,-0.019422652548766087,0.01594228674648953,,tobacco,Tobacco assessment+intervention
0,-0.003208717390070801,0.010065772073941668,-0.022937268131585517,0.016519833351443913,,tobacco,Tobacco assessment+intervention
1,0.015584311584798272,0.0110737020000364,-0.006119745510802233,0.03728836868039878,,tobacco,Tobacco assessment+intervention
2,0.0001052808080278674,0.012748132903159973,-0.024880600552295722,0.025091162168351454,,tobacco,Tobacco assessment+intervention
3,0.01972957473884276,0.013921890181516593,-0.007556828613651555,0.04701597809133708,,tobacco,Tobacco assessment+intervention
4,0.016174487455827776,0.015923733096697014,-0.015035455913126838,0.047384430824782386,,tobacco,Tobacco assessment+intervention
5,0.015605365235015392,0.022751155473771493,-0.028986080100248043,0.06019681057027883,,tobacco,Tobacco assessment+intervention
6,0.05946090451445866,0.02767056947614037,0.005227584909510183,0.11369422411940713,*,tobacco,Tobacco assessment+intervention
7,0.07445164871480969,0.05063185195659218,-0.024784957590674853,0.17368825502029422,,tobacco,Tobacco assessment+intervention
