,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-8,0.04422023452111479,0.026663077828114164,-0.008038437738977423,0.09647890678120699,
-7,0.016826943684428677,0.019681136091911956,-0.02174737423055015,0.0554012615994075,
-6,0.0014249001584856653,0.022883203996029625,-0.04342535552461545,0.04627515584158677,
-5,0.004225496831055952,0.012253891597740907,-0.019791689370974204,0.028242683033086108,
-4,0.0024206117126525854,0.009689664332353734,-0.01657078140104308,0.021412004826348252,
-3,-0.003042083973003279,0.007807625592275292,-0.01834474893863606,0.012260580992629501,
-2,0.010952879439001898,0.005765993488590306,-0.000348260133727565,0.02225401901173136,
-1,-0.006927766054802253,0.005349575917025148,-0.017412742184734376,0.0035572100751298692,
0,0.01351497644860132,0.005200590733734055,0.0033220059121498394,0.023707946985052804,*
1,0.010910461670651395,0.006313467077842513,-0.001463706419499269,0.02328462976080206,
2,0.008848249546508116,0.007101173559194617,-0.005069794877481444,0.022766293970497675,
3,0.015538348483539218,0.007957730280600412,-5.851626512140898e-05,0.031135213232199845,
4,0.02908493963241447,0.008095431177309261,0.013218186085565627,0.04495169317926331,*
5,0.030506655700085854,0.010076796361722887,0.010756497751564745,0.050256813648606964,*
6,0.030124920030232687,0.011475434395261252,0.007633481908568458,0.052616358151896914,*
7,0.03375194587034929,0.013859599692172861,0.006587629633548066,0.060916262107150516,*
8,0.03943522288774026,0.013518224888538094,0.012939988971292612,0.06593045680418791,*
