,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-9,-0.005117308600890165,0.01725972130537958,-0.038945740742632795,0.028711123540852465,
-8,-0.015647608915341265,0.01340474182822234,-0.041920420120714647,0.01062520229003212,
-7,-0.01646824318716449,0.007675538652412703,-0.03151202250783849,-0.0014244638664904913,*
-6,-0.007120522337616528,0.008237859341708403,-0.023266429957071837,0.009025385281838778,
-5,0.012192473633283601,0.008276782965188622,-0.004029722886340733,0.028414670152907936,
-4,0.004325010044034803,0.006308769009167138,-0.00803995000071523,0.016689970088784836,
-3,-0.011856744047188573,0.0059499278837837,-0.023518388410015245,-0.00019509968436190114,*
-2,0.009509366798171279,0.00612376406372198,-0.002492990216544446,0.021511723812887004,
-1,0.0008511001050458479,0.004580241944983745,-0.008126009147601981,0.009828209357693676,
0,0.0032466778714010792,0.0030344281489860726,-0.002700692014286165,0.009194047757088323,
1,0.003135931663800446,0.004016355223393151,-0.0047359799231694545,0.011007843250770345,
2,-0.0007305455524605836,0.005118944446573521,-0.010763492306606002,0.009302401201684836,
3,-0.005691399674674332,0.006205875782661383,-0.017854692701219962,0.006471893351871299,
4,0.0015269571480984647,0.006799330127292824,-0.011799485020393612,0.014853399316590542,
5,0.012893144154590244,0.008278478647645594,-0.0033323758415789734,0.029118664150759463,
6,0.004248113465194832,0.009672597762282563,-0.01470982978582171,0.023206056716211374,
7,0.003806019142668002,0.011892766431778485,-0.019503374740164756,0.027115413025500763,
8,-0.00114988638592805,0.013099613392115636,-0.026824656845873266,0.024524884074017168,
9,0.008899303145026127,0.015938123921608406,-0.022338845722462638,0.040137452012514896,
